Category,Item,Station,Value,ValueType
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,687,233,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,692,"1,153",Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,459,44,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,640,634,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,662,12,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,600,1,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,664,451,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,691,944,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,568,508,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,636,421,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,636A6,333,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,656,"1,290",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,402,"9,053",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,405,"4,853",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,518,"6,146",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,523,"13,426",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,608,"4,957",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,631,"7,671",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,650,"9,575",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,689,"14,171",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,528,"9,522",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,528A5,"4,848",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,528A6,"3,241",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,528A7,"8,903",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,528A8,"6,557",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,526,"7,817",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,561,"14,811",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,620,"6,013",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,630,"15,226",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,632,"7,273",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,460,"7,382",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,503,"4,091",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,529,"3,215",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,540,"5,849",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,542,"5,761",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,562,"4,823",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,595,"8,906",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,642,"17,552",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,646,"12,523",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,693,"7,907",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,512,"15,128",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,613,"10,068",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,688,"16,680",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,517,"4,640",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,558,"17,909",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,565,"17,097",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,590,"16,020",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,637,"8,935",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,652,"13,239",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,658,"11,174",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,659,"21,218",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,508,"27,493",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,509,"11,678",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,521,"19,615",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,534,"19,874",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,544,"21,139",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,557,"10,051",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,619,"13,939",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,679,"5,706",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,516,"22,355",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,546,"19,672",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,548,"13,749",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,573,"31,997",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,672,"20,647",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,673,"22,648",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,675,"27,016",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,581,"6,902",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,596A4,"9,253",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,603,"11,294",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,614,"12,671",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,621,"16,030",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,626,"27,309",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,538,"7,540",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,539,"11,091",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,541,"27,711",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,552,"9,344",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,757,"10,835",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,506,"11,265",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,515,"11,433",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,550,"7,971",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,553,"10,782",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,583,"11,969",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,610,"8,491",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,655,"8,481",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,537,"14,497",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,556,"6,121",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,578,"14,163",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,585,"3,176",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,607,"7,642",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,676,"5,388",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,695,"14,711",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,589,"10,771",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,589A4,"7,292",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,589A5,"10,360",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,589A7,"5,934",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,657,"14,122",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,657A4,"5,602",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,657A5,"8,733",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,502,"7,875",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,520,"20,277",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,564,"11,461",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,580,"33,305",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,586,"11,161",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,598,"15,151",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,623,"10,254",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,629,"13,921",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,635,"13,610",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,667,"8,949",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,549,"32,664",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,671,"23,599",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,674,"26,945",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,740,"9,515",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,501,"13,623",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,504,"5,768",Number
Mental Health Workload,Unique Veterans Seen In Outpatient Mental Health,519,"3,690",Number
